timestamp,attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,command,command_encoded
2026-02-01 17:46:17.934500,44,67,860646,241822,41168,62471,30523,32972,45029,126409,s,3
2026-02-01 17:46:18.919852,52,66,1052970,94665,10347,27022,14651,19910,7350,42396,s,3
2026-02-01 17:46:19.914684,61,59,870162,96623,13506,25135,10861,16241,7398,39554,s,3
2026-02-01 17:46:20.923457,65,57,799041,98819,32375,110380,34111,19879,9653,106365,s,3
2026-02-01 17:46:21.905964,62,59,492016,106846,33012,107963,34807,20483,9725,105827,s,3
2026-02-01 17:46:22.898482,57,62,1065652,246216,63069,122586,42017,30972,12349,136476,s,3
2026-02-01 17:46:23.898286,50,63,985649,174049,38520,17777,10999,15961,5043,45251,s,3
2026-02-01 17:46:24.895583,49,56,981811,160734,38337,19489,11543,15334,5175,42945,s,3
2026-02-01 17:46:50.729204,23,23,845819,340525,72194,36083,41502,37790,14096,196720,s,3
2026-02-01 17:46:51.724108,40,36,745963,131222,30854,11984,30281,28449,13308,104638,s,3
2026-02-01 17:46:52.694075,45,38,780025,147345,38442,11731,28420,33142,15070,24030,s,3
2026-02-01 17:46:53.708902,54,38,686640,69844,20680,9492,5484,8002,2863,14990,s,3
2026-02-01 17:46:54.682859,53,37,734230,136965,19285,9305,8238,15044,10530,32692,s,3
2026-02-01 17:46:55.694058,56,34,662411,265842,21098,9520,13103,23382,12894,48931,s,3
2026-02-01 17:46:56.666565,51,29,579097,260377,22577,5487,11901,22640,12770,49847,s,3
2026-02-01 17:46:57.677692,49,25,1047969,243430,20023,4424,11133,18870,7131,32455,s,3
2026-02-01 17:46:58.658975,45,24,989582,82525,10016,15066,7252,9108,6770,40431,s,3
2026-02-01 17:46:59.653865,45,28,1220746,90675,12740,19771,8081,13918,10284,66879,s,3
2026-02-01 18:24:39.591515,41,46,1050162,849562,84634,385139,7636,153870,3241,909935,r,4
2026-02-01 18:24:40.585207,60,67,708731,905717,9680,492696,5788,136442,2410,738585,r,4
2026-02-01 18:24:41.579980,59,64,656427,807806,10935,458988,6073,131693,2623,661030,r,4
2026-02-01 18:24:42.584769,52,66,790745,620934,13823,409651,4261,125592,2842,632301,r,4
2026-02-01 18:24:43.567779,46,71,715443,626668,11731,428504,4017,124083,2607,630777,r,4
2026-02-01 18:24:44.554470,42,77,703791,601882,11349,409933,3732,118561,2682,613513,r,4
2026-02-01 18:24:45.551530,41,84,669261,598142,8953,402899,3953,114780,2648,602500,r,4
